Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Tenders-Portal/SCRUM-72 Validate CN search,Chrome 135.0.7049.85,"Summary: Validate CN search
Description: *Test Case 1: Verify that only users with the Admin role can access admin features*",jira-integration,15-04-2025 11:32:49,15-04-2025 11:33:01,11.579s,PASSED
"runFeatureFile(""Include/features/SCRUM-72 Validate CN search.feature"")",Chrome 135.0.7049.85,,,15-04-2025 11:32:49,15-04-2025 11:32:49,0.002s,NOT_RUN
"openBrowser("""")",Chrome 135.0.7049.85,,,15-04-2025 11:32:49,15-04-2025 11:32:52,3.349s,PASSED
"navigateToUrl(""https://www.tenders.gov.au/"")",Chrome 135.0.7049.85,,,15-04-2025 11:32:52,15-04-2025 11:32:55,2.949s,PASSED
"click(findTestObject(""Object Repository/AusTender/Page_AusTender Homepage AusTender/a_Contract Notices""))",Chrome 135.0.7049.85,,,15-04-2025 11:32:55,15-04-2025 11:32:57,1.175s,PASSED
"setText(findTestObject(""Object Repository/AusTender/Page_Contract Notices AusTender/input_Use the drop down menu to specify an _43aab4""), ""education"")",Chrome 135.0.7049.85,,,15-04-2025 11:32:57,15-04-2025 11:32:58,0.931s,PASSED
"click(findTestObject(""Object Repository/AusTender/Page_Contract Notices AusTender/i""))",Chrome 135.0.7049.85,,,15-04-2025 11:32:58,15-04-2025 11:32:58,0.520s,PASSED
"click(findTestObject(""Object Repository/AusTender/Page_Contract Notice List AusTender/a_CN4144091""))",Chrome 135.0.7049.85,,,15-04-2025 11:32:58,15-04-2025 11:32:59,1.322s,PASSED
"click(findTestObject(""Object Repository/AusTender/Page_Contract Notice View - CN4144091 AusTender/a_Contract Notices""))",Chrome 135.0.7049.85,,,15-04-2025 11:32:59,15-04-2025 11:33:00,1.016s,PASSED
closeBrowser(),Chrome 135.0.7049.85,,,15-04-2025 11:33:00,15-04-2025 11:33:01,0.256s,PASSED
